Mass Air Flow - Sensor (G70),Lambda Control - Bank 1 (actual),Accel. Pedal Pos. - Sensor 1 (G79),Lambda Control - Bank 1,Boost Pressure - Control (N75),Boost Pressure - (specified),Boost Pressure - (actual),Fuel Rail - Pressure (actual),Fuel Rail - Pressure (actual)
0.009884998061765087,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.012783226242813667,0.03460775596744411
0.008980488435198348,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.025363544132566793,0.01832979960331031
0.009174311926605509,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02434900236726413,0.02003966896929075
0.007752939656286342,0.33333333333333326,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.031924247548190725,0.0268107516585733
0.00807597880863161,0.33333333333333326,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.011362867771389921,0.029067779221667468
0.008269802300038764,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02360500507270884,0.016756719786608323
0.007559116164879187,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.025363544132566793,0.022638670405581034
0.008786664943791189,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02698681095705108,0.025032487517953658
0.009497351078950772,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.012783226242813667,0.03282949182682442
0.008592841452384033,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.025566452485627333,0.02024485329320841
0.009174311926605509,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02434900236726413,0.01853498392722797
0.008786664943791189,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.029151166723030114,0.023254223377333964
0.007752939656286342,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.016909029421711193,0.02640038301073798
0.008463625791445925,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.015150490361853244,0.02831543670063608
0.008786664943791189,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.025363544132566793,0.02086040626496134
0.008463625791445925,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.01981738248224552,0.01532042951918475
0.00807597880863161,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02786608048698003,0.02202311743382805
0.00788215531722445,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.021440649306729807,0.029136173996306674
0.008463625791445925,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.015488670950287449,0.029067779221667468
0.007752939656286342,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.013189042948934703,0.03269270227754601
0.008786664943791189,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.024754819073385167,0.03665959920662062
0.00788215531722445,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.01826175177544806,0.013884139251761175
0.00788215531722445,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.029692255664524863,0.02660556733465564
0.009368135418012662,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02171119377747718,0.025579645715067385
0.008269802300038764,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.01981738248224552,0.03317146570002053
0.008592841452384033,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.014474129184984787,0.026331988236098777
0.00807597880863161,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.025363544132566793,0.022707065180220237
0.008980488435198348,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.028068988840040575,0.02523767184187127
0.009174311926605509,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02286100777815355,0.024211750222283016
0.008592841452384033,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.016841393304024364,0.03700157307981673
0.008592841452384033,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.021440649306729807,0.034881335066000975
0.008463625791445925,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.01927629354075077,0.015730798167020024
0.010208037214110356,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.030030436252959068,0.02469051364475754
0.007752939656286342,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.02975989178221169,0.025374461391149725
0.009691174570357931,0.33333333333333326,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.010213053770713548,0.029136173996306674
0.008592841452384033,0.33333333333333326,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.017111937774771737,0.012721428082894465
0.007752939656286342,0.33333333333333326,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.035306053432532965,0.02660556733465564
0.008463625791445925,0.33333333333333326,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.028136624957727403,0.025579645715067385
0.008786664943791189,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.015285762597226906,0.030709253813008704
0.009174311926605509,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.0234020967196483,0.019218931673620154
0.009174311926605509,0.3565891472868217,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.025566452485627333,0.021407564462075118
0.008980488435198348,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.032735880960432846,0.026879146433212504
0.008980488435198348,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.011565776124450462,0.025784830038985046
0.007752939656286342,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.023199188366587756,0.027494699404965486
0.008786664943791189,0.3410852713178294,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.027257355427798453,0.023254223377333964
0.009691174570357931,0.34883720930232553,0.0,1.0,0.0,0.08374384236453201,0.018018018018018018,0.01981738248224552,0.015730798167020024
0.008980488435198348,0.3565891472868217,0.0,1.0,0.0,0.08866995073891626,0.018018018018018018,0.029218802840716946,0.022433486081663373
0.008980488435198348,0.3565891472868217,0.0,1.0,0.0,0.08866995073891626,0.018018018018018018,0.032735880960432846,0.0315983858833185
0.009174311926605509,0.3565891472868217,0.0,1.0,0.0,0.08866995073891626,0.018018018018018018,0.014879945891105821,0.030504069489091044
0.010078821553172246,0.3410852713178294,0.0,1.0,0.0,0.08866995073891626,0.018018018018018018,0.014474129184984787,0.02448532932083988
0.009497351078950772,0.3410852713178294,0.0,1.0,0.0,0.08866995073891626,0.018018018018018018,0.026513358133243164,0.023596197250530082
0.009174311926605509,0.34883720930232553,0.0,1.0,0.0,0.08866995073891626,0.018018018018018018,0.023199188366587756,0.025784830038985046
0.00788215531722445,0.3410852713178294,0.0,1.0,0.0,0.09359605911330049,0.018018018018018018,0.014677037538045327,0.03289788660146367
0.009174311926605509,0.3410852713178294,0.0,1.0,0.0,0.08866995073891626,0.018018018018018018,0.020629015894487637,0.014704876547431769
